Viaje	MSE	RMSE	MAE	MAPE	DESV
41	865.030050715	29.4113932128	21.7542925677	3658.65585843	19.7934536045
42	1260.30273159	35.5007426907	24.650750372	115.977733067	25.5468831306
43	888.073396877	29.800560345	21.6696220105	6047.33821325	20.4572940244
44	1637.52837258	40.4663857119	29.7062887102	105.682271438	27.478442162
45	1908.37200798	43.684917397	31.7525338697	100.249291835	30.0024765783
46	892.917728351	29.8817290054	21.3086165093	10147.5672411	20.9489997568
47	1108.79216861	33.2985310279	22.1734948166	9543.25127908	24.8420670684
48	1297.09790561	36.0152454609	23.7562978142	8752.73825176	27.0691008305
49	519.153049419	22.7849303141	16.7459484831	11377.1471353	15.4507688748
50	990.496924931	31.47216111	25.687750465	4546.48376294	18.1834100482
51	778.037146767	27.8933172421	21.6937340034	108.178083283	17.5333696635
52	953.187224981	30.873730338	21.2131410382	109.242527041	22.4318940857
53	1122.20155922	33.4992769956	25.3005901181	5067.52928744	21.9563589627
54	1134.20758233	33.6779984906	25.3273563197	97.3785693065	22.1975810436
55	804.461595104	28.3630321916	18.4323915484	95.330605509	21.5570994549
56	1359.51931941	36.871660112	26.7200029821	2736.81173168	25.4078877526
57	2318.55442778	48.151369947	29.2146762331	14240.7670482	38.2760645883
58	1242.66456736	35.2514477342	24.4276644635	105.364704622	25.4156207128
59	1468.66048137	38.3231063638	21.9970379859	3185.78231506	31.3813766622
60	1539.6615914	39.2385217789	26.7352376204	13536.6426978	28.7208750002
61	1727.47527473	41.5629074383	27.5430290095	34618.0713808	31.1264650693
62	783.048941225	27.983011654	21.0423338954	15038.5171849	18.4463851596
63	911.453363131	30.1902859067	22.577499134	109.743042936	20.0427018135
64	1835.24523595	42.8397623237	27.9342502042	117.37907105	32.4795766826
65	2628.93389146	51.2731303068	30.2184085987	115.882268487	41.4219950415
66	1266.1486824	35.5829830453	23.5975249167	17362.8777063	26.6327899442
67	851.548785789	29.181308843	19.8942527739	99.8294279249	21.3487117259
68	1039.19944313	32.2366164962	23.2182662832	100.505076275	22.3631740575
69	1828.41337779	42.7599506289	29.037245922	101.364508602	31.3887197422
70	958.499178984	30.9596379014	20.2580958589	11046.6969703	23.4117220886
71	983.55556796	31.3616894947	23.3728949396	110.634791177	20.9108428836
72	1617.7566172	40.2213452932	27.7787748701	9607.13978441	29.087734252
