Viaje	MSE	RMSE	MAE	MAPE	DESV
27	0.00818923349947	0.0904943838007	0.0704164551646	74.1457756442	0.0568397426237
28	0.0174672604702	0.132163763832	0.100281064061	84.1540114523	0.0860869831104
29	0.012544777934	0.112003472866	0.0865409429759	253.970476806	0.0711016393821
30	0.012544777934	0.112003472866	0.0865409429759	253.970476806	0.0711016393821
31	0.0163931623153	0.128035785292	0.0999287466678	154.102945587	0.0800462860143
32	0.0196503649249	0.140179759327	0.111101702796	126.559397671	0.0854796850766
33	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
34	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
35	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
36	0.00772908112446	0.0879151927966	0.0705756250831	195.420204313	0.0524229173987
37	0.00839308710215	0.0916137931872	0.0750066561949	65.838736714	0.0526031237533
38	0.0152538384729	0.123506430897	0.0963782508876	144.150262911	0.0772338735834
39	0.0115152464284	0.107309116241	0.0852028655953	335.065827062	0.0652358653102
40	0.00941468496268	0.0970292995063	0.0763283928859	152.792895461	0.0599054371667
41	0.0126559903154	0.11249884584	0.088973740917	274.489045835	0.0688452158295
42	0.0137926914869	0.117442290028	0.0977537614522	50.2814910323	0.0650914250027
43	0.0145036374033	0.120431048336	0.0943462688117	114.924515177	0.0748493083776
44	0.0174672604702	0.132163763832	0.100281064061	84.1540114523	0.0860869831104
45	0.0159312255632	0.12621895881	0.0918481546084	56.6223510427	0.0865744884952
46	0.00818923349947	0.0904943838007	0.0704164551646	74.1457756442	0.0568397426237
47	0.0137598217063	0.117302266416	0.0910774221201	86.6770790724	0.0739237775433
48	0.0146070047702	0.120859442205	0.0944436233512	311.981316005	0.0754148975901
49	0.00818923349947	0.0904943838007	0.0704164551646	74.1457756442	0.0568397426237
50	0.0126559903154	0.11249884584	0.088973740917	274.489045835	0.0688452158295
51	0.0115152464284	0.107309116241	0.0852028655953	335.065827062	0.0652358653102
52	0.0156241207372	0.124996482899	0.0960151678793	63.9347965561	0.0800325450946
53	0.0189522343352	0.137667114211	0.108158422297	88.3900449013	0.0851703588202
54	0.0123542497011	0.111149672519	0.0866173355355	404.141638215	0.0696540514675
55	0.0189522343352	0.137667114211	0.108158422297	88.3900449013	0.0851703588202
56	0.0128990422079	0.113573950393	0.0865333705894	5409.15358279	0.0735596219561
57	0.0215154850669	0.146681577122	0.126804169523	42.9827530659	0.0737305069729
58	0.0215154850669	0.146681577122	0.126804169523	42.9827530659	0.0737305069729
